Índice;Título;Link;Data;Conteúdo;Fonte;Palavras-chave;Tema;Sentimento;Relevância;cluster
11;Interdições na Dutra exigem planejamento dos motoristas a partir de junho;https://www.google.com/url?rct=j&sa=t&url=https://www.tupi.fm/brasil/interdicoes-na-dutra-exigem-planejamento-dos-motoristas-a-partir-de-junho/&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw3hqm4JfoyGChpd2P9xevXd;2024-06-02;"Com as <b>obras</b> de construção das novas pistas de subida e descida da Serra das Araras previstas para começar no dia 5 de junho, a <b>Rodovia</b> Presidente&nbsp;...";RODOVIA & OBRAS;motoristas partir, exigem planejamento, dos motoristas, planejamento dos;construção;Neutro;2,8;construção - 2024-06-02
12;Empresa blumenauense estreia no mercado de <b>energia</b> solar com toda a produção vendida;https://www.google.com/url?rct=j&sa=t&url=https://omunicipioblumenau.com.br/empresa-blumenauense-estreia-no-mercado-de-energia-solar-com-toda-a-producao-vendida/&ct=ga&cd=CAIyHTIxYjBiOThjNDY0ZjBhNWI6Y29tLmJyOnB0OkJS&usg=AOvVaw3MCfWmEGI7XDfeh49P2ASk;2024-06-02;"O mercado de <b>energia</b> solar cresce vertiginosamente no Brasil. De acordo com a Associação Brasileira de <b>Energia</b> Solar <b>Fotovoltaica</b> (Absolar), o&nbsp;...";ENERGIA & FOTOVOLTAICA;produção vendida, toda produção, mercado energia, empresa blumenauense;energia;Neutro;2,8;energia - 2024-06-02
13;Empresa blumenauense estreia no mercado de <b>energia</b> solar com toda a produção vendida;https://www.google.com/url?rct=j&sa=t&url=https://omunicipioblumenau.com.br/empresa-blumenauense-estreia-no-mercado-de-energia-solar-com-toda-a-producao-vendida/&ct=ga&cd=CAIyHTIxYjBiOThjNDY0ZjBhNWI6Y29tLmJyOnB0OkJS&usg=AOvVaw3MCfWmEGI7XDfeh49P2ASk;2024-06-02;"O mercado de <b>energia</b> solar cresce vertiginosamente no Brasil. De acordo com a Associação Brasileira de <b>Energia</b> Solar <b>Fotovoltaica</b> (Absolar), o&nbsp;...";FOTOVOLTAICA & SHELL;produção vendida, toda produção, mercado energia, empresa blumenauense;energia;Neutro;2,8;energia - 2024-06-02
14;Autorizado início das <b>obras</b> de revitalização da Travessia Urbana de Messias, na BR-101/AL;https://www.google.com/url?rct=j&sa=t&url=https://www.cadaminuto.com.br/noticia/2024/06/01/autorizado-inicio-das-obras-de-revitalizacao-da-travessia-urbana-de-messias-na-br-101-al&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw11n1q3_YVGHoxGHV3t6WhO;2024-06-02;"Além da revitalização do pavimento com serviços de microrevestimento e sinalização da <b>rodovia</b>, serão implantadas ciclovia e pista de corrida. O&nbsp;...";RODOVIA & OBRAS;obras revitalização, revitalização da, revitalização, urbana messias;construção;Neutro;2,4;construção - 2024-06-02
15;Processo de internacionalização avança e <b>aeroporto</b> de VG deve receber voos de outros ...;https://www.google.com/url?rct=j&sa=t&url=https://www.gazetadigital.com.br/editorias/cidades/processo-de-internacionalizao-avana-e-aeroporto-de-vg-deve-receber-voos-de-outros-pases-em-2025/773004&ct=ga&cd=CAIyHTdmNGQxNWUzZTA0NDM1Nzk6Y29tLmJyOnB0OkJS&usg=AOvVaw31akkiVtidoV_BhRkfZY8B;2024-06-02;"“O governo do Estado, com a <b>concessão</b> do <b>Aeroporto</b> Marechal Rondon, já está preparado com as salas de embarques internacionais e toda a estrutura&nbsp;...";AEROPORTO & CONCESSÃO ;processo internacionalização, internacionalização avança, internacionalização, aeroporto vg;Outro tema;Neutro;2,4;Outro tema - 2024-06-02
16;Processo de internacionalização avança e <b>aeroporto</b> de VG deve receber voos de outros ...;https://www.google.com/url?rct=j&sa=t&url=https://www.gazetadigital.com.br/editorias/cidades/processo-de-internacionalizao-avana-e-aeroporto-de-vg-deve-receber-voos-de-outros-pases-em-2025/773004&ct=ga&cd=CAIyHTA4MTYxZTI1N2YxOGI1OGM6Y29tLmJyOnB0OkJS&usg=AOvVaw31akkiVtidoV_BhRkfZY8B;2024-06-02;"“O governo do Estado, com a <b>concessão</b> do <b>Aeroporto</b> Marechal Rondon, já está preparado com as salas de embarques internacionais e toda a estrutura&nbsp;...";AEROPORTOS & CONCESSÃO ;processo internacionalização, internacionalização avança, internacionalização, aeroporto vg;Outro tema;Neutro;2,4;Outro tema - 2024-06-02
17;<b>BRK</b> leva cultura e educação ambiental às escolas tocantinenses nas próximas semanas;https://www.google.com/url?rct=j&sa=t&url=https://t1noticias.com.br/cidades/brk-leva-cultura-e-educacao-ambiental-as-escolas-tocantinenses-nas-proximas-semanas/131803/&ct=ga&cd=CAIyHTU0YzJjM2YyMDc3ZDI5MzM6Y29tLmJyOnB0OkJS&usg=AOvVaw1BmCkk3q0WET4caHuhSEYR;2024-06-02;"Com <b>investimento</b> de R$ 1,6 mi do Governo, Expoara começa neste sábado em Araguaína. há 14 horas. Dia dos namorados: Produtos e lingeries prometem&nbsp;...";INVESTIMENTO & BRK;educação ambiental, cultura educação, educação, escolas tocantinenses;Outro tema;Neutro;2,4;Outro tema - 2024-06-02
18;DNIT estuda implantação de túnel falso na Serra da Rocinha, em Timbé do Sul;https://www.google.com/url?rct=j&sa=t&url=https://www.engeplus.com.br/noticia/geral/2024/dnit-estuda-implantacao-de-tunel-falso-na-serra-da-rocinha-em-timbe-do-sul&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw2dG8KoUX0yUg_rAyeXKIyT;2024-06-02;"... <b>rodovia</b>. A construção do túnel é estudada como alternativa para finalizar as <b>obras</b> e reabrir a serra ao tráfego com segurança aos usuários. O&nbsp;...";RODOVIA & OBRAS;implantação túnel, estuda implantação, implantação, da rocinha;construção;Neutro;2;construção - 2024-06-02
19;Situação das <b>barragens</b> no Rio Grande do Sul | Notícias de Bento Gonçalves e do mundo;https://www.google.com/url?rct=j&sa=t&url=https://serranossa.com.br/situacao-das-barragens-no-rio-grande-do-sul/&ct=ga&cd=CAIyHTA5ZWY3ZTUwYWM5Y2I4MDM6Y29tLmJyOnB0OkJS&usg=AOvVaw2zjZCzEiuQfQWN0UEw0Xne;2024-06-02;"<b>Barragens</b> monitoradas pela Aneel. Nível de Emergência – Risco de ruptura iminente, exigindo providências para preservar vidas: UHE Bugres – <b>Barragem</b>&nbsp;...";VALE & DESCOMISSIONAMENTO;barragens rio, notícias bento, rio grande, das barragens;Outro tema;Neutro;1,6;Outro tema - 2024-06-02
20;Situação das <b>barragens</b> no Rio Grande do Sul | Notícias de Bento Gonçalves e do mundo;https://www.google.com/url?rct=j&sa=t&url=https://serranossa.com.br/situacao-das-barragens-no-rio-grande-do-sul/&ct=ga&cd=CAIyHTA5ZWY3ZTUwYWM5Y2I4MDM6Y29tLmJyOnB0OkJS&usg=AOvVaw2zjZCzEiuQfQWN0UEw0Xne;2024-06-02;"<b>Barragens</b> monitoradas pela Aneel. Nível de Emergência – Risco de ruptura iminente, exigindo providências para preservar vidas: UHE Bugres – <b>Barragem</b>&nbsp;...";VALE & BARRAGEM;barragens rio, notícias bento, rio grande, das barragens;Outro tema;Neutro;1,6;Outro tema - 2024-06-02
21;'O jogo da celulose no mundo está em MS', destaca Verruck | JPNews Três Lagoas;https://www.google.com/url?rct=j&sa=t&url=https://www.rcn67.com.br/jpnews/tres-lagoas/o-jogo-da-celulose-no-mundo-esta-em-ms-destaca-verruck/191614/&ct=ga&cd=CAIyHTM2MDhiY2ZlYjQ5YzZmYzg6Y29tLmJyOnB0OkJS&usg=AOvVaw2CS-A7U7LnnbLmm6bSaQfU;2024-06-02;"Verruck destacou que o estado já tem garantidas seis <b>plantas</b> de celulose. Duas da <b>Suzano</b> e uma da Eldorado em operação, em Três Lagoas. Em breve, mais&nbsp;...";PLANTA & SUZANO;três lagoas, jogo da, celulose mundo, mundo está;Outro tema;Neutro;1,2;Outro tema - 2024-06-02
22;Leonardo Sobral visita <b>obras</b> de estrada que vai ligar Piauí ao Ceará - GP1;https://www.google.com/url?rct=j&sa=t&url=https://www.gp1.com.br/piaui/noticia/2024/6/1/leonardo-sobral-visita-obras-de-estrada-que-vai-ligar-piaui-ao-ceara-571485.html&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw2lw3xAMh12821vDeXCbupF;2024-06-02;"... <b>obras</b> da <b>rodovia</b> PI-258, no Território de Desenvolvimento Cocais. Ao todo, serão investidos R$ 30 milhões na <b>rodovia</b> que vai contribuir com a&nbsp;...";RODOVIA & OBRAS;ao ceará, piauí ao, ligar piauí, estrada que;construção;Neutro;1,2;construção - 2024-06-02
23;João Azevêdo entrega creche, tomógrafo e inspeciona <b>obras</b> de educação e ... - Governo da Paraíba;https://www.google.com/url?rct=j&sa=t&url=https://paraiba.pb.gov.br/noticias/joao-azevedo-entrega-creche-tomografo-e-inspeciona-obras-de-educacao-e-infraestrutura-rodoviaria-em-sao-bento-e-pombal&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw0r0cThNu5pBR91_d8IEN7j;2024-06-02;"... <b>obras</b> de educação e infraestrutura rodoviária em São Bento e Pombal ... <b>rodovia</b> PB-317, que liga o distrito de Barra de Cima à cidade. Ele ainda&nbsp;...";RODOVIA & OBRAS;educação governo, obras educação, entrega creche, educação;transporte;Neutro;1,2;transporte - 2024-06-02
24;<b>Obras</b> causam bloqueios na ERS-129 durante o fim de semana - Jornal A Hora;https://www.google.com/url?rct=j&sa=t&url=https://grupoahora.net.br/conteudos/2024/06/01/obras-causam-bloqueios-na-ers-129-durante-o-fim-de-semana/&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw1K3RMIsJUsdCYGkHiD1mxQ;2024-06-02;O trânsito na ERS-129, é permitido a todos os tipos de veículo. Motivo do bloqueio é devido à necessidade de manutenção na <b>rodovia</b>. Acompanhe nossas;RODOVIA & OBRAS;obras causam, causam bloqueios, bloqueios na, na ers;construção;Neutro;1,2;construção - 2024-06-02
25;Criciúma terá três novos reservatórios de água até outubro - Cotidiano - 4oito;https://www.google.com/url?rct=j&sa=t&url=https://www.4oito.com.br/noticia/criciuma-tera-tres-novos-reservatorios-de-agua-ate-outubro-75014&ct=ga&cd=CAIyHTM3Y2YzZmY1YTFiMGMwNGI6Y29tLmJyOnB0OkJS&usg=AOvVaw0iEKDUzD_e3lZNOLriZvIn;2024-06-02;"Juntas, as estruturas suportam quase 4 milhões de litros de água. O <b>investimento</b> total é de quase R$ 5 milhões. A conclusão total das obras está&nbsp;...";INVESTIMENTO & IGUÁ;reservatórios água, cotidiano 4oito, novos reservatórios, criciúma terá;construção;Neutro;1,2;construção - 2024-06-02
26;Sirene de <b>barragem</b> é disparada acidentalmente e moradores se desesperam para saírem ...;https://www.google.com/url?rct=j&sa=t&url=https://terrabrasilnoticias.com/2024/06/sirene-de-barragem-e-disparada-acidentalmente-e-moradores-se-desesperam-para-sairem-de-suas-casas-veja-video/&ct=ga&cd=CAIyHTA5ZWY3ZTUwYWM5Y2I4MDM6Y29tLmJyOnB0OkJS&usg=AOvVaw1q_UX6agwgSzl8KryrouQa;2024-06-02;"O acionamento de um alarme falso de rompimento da <b>barragem</b> da Usina Hidrelétrica de São Simão assustou moradores do distrito de Chaveslândia, em Santa&nbsp;...";VALE & DESCOMISSIONAMENTO;acidentalmente moradores, se desesperam, sirene barragem, desesperam para;Outro tema;Neutro;0,8;Outro tema - 2024-06-02
27;Sirene de <b>barragem</b> é disparada acidentalmente e moradores se desesperam para saírem ...;https://www.google.com/url?rct=j&sa=t&url=https://terrabrasilnoticias.com/2024/06/sirene-de-barragem-e-disparada-acidentalmente-e-moradores-se-desesperam-para-sairem-de-suas-casas-veja-video/&ct=ga&cd=CAIyHTA5ZWY3ZTUwYWM5Y2I4MDM6Y29tLmJyOnB0OkJS&usg=AOvVaw1q_UX6agwgSzl8KryrouQa;2024-06-02;"O acionamento de um alarme falso de rompimento da <b>barragem</b> da Usina Hidrelétrica de São Simão assustou moradores do distrito de Chaveslândia, em Santa&nbsp;...";VALE & BARRAGEM;acidentalmente moradores, se desesperam, sirene barragem, desesperam para;Outro tema;Neutro;0,8;Outro tema - 2024-06-02
28;O que fazer com os rejeitos gerados pela exploração mineral - Nexo Jornal;https://www.google.com/url?rct=j&sa=t&url=https://www.nexojornal.com.br/externo/2024/06/02/o-que-fazer-com-os-rejeitos-gerados-pela-exploracao-mineral&ct=ga&cd=CAIyHTY2YmJkODdhZWYxZDhhOWM6Y29tLmJyOnB0OkJS&usg=AOvVaw1ZRi06mSdh4ZbMbjxm7gJ8;2024-06-02;"... <b>mineradoras</b> publicada pelo Instituto <b>Brasileiro</b> de <b>Mineração</b> (Ibram), em 2022. Nesse mesmo ano, a startup foi selecionada para participar do&nbsp;...";Mineração & Mercado Brasileiro;exploração mineral, pela exploração, exploração, rejeitos gerados;Outro tema;Neutro;0;Outro tema - 2024-06-02
29;grupo de apostas telegram grátis - Como jogar jogos de caça-níqueis;https://www.google.com/url?rct=j&sa=t&url=http://www.propaae.uefs.br/android%3D20240602fortuna%2520planta.html&ct=ga&cd=CAIyHTM2MDhiY2ZlYjQ5YzZmYzg6Y29tLmJyOnB0OkJS&usg=AOvVaw2FPscrk4Gui_tdWHWi7xLi;2024-06-02;As escadas do Paço Municipal de <b>Suzano</b>   recebem, neste sábado (9), a quinta edição do Skate Jam, que deve reunir cerca de 60   atletas de todo país.;PLANTA & SUZANO;telegram grátis, apostas telegram, telegram, jogos caça;Outro tema;Neutro;0;Outro tema - 2024-06-02
30;Shopping faz nova drenagem de água para tentar reabrir após quase um mês fechado;https://www.google.com/url?rct=j&sa=t&url=https://gauchazh.clicrbs.com.br/colunistas/giane-guerra/noticia/2024/06/shopping-faz-nova-drenagem-de-agua-para-tentar-reabrir-apos-quase-um-mes-fechado-clww1uxom007p013ueaosubko.html&ct=ga&cd=CAIyHWJhM2UyOTQ5Y2JmZmY4NmM6Y29tLmJyOnB0OkJS&usg=AOvVaw0ztEPi5Ymws6BBS8JqE_op;2024-06-02;"Guilherme Gonçalves / Agência RBS Empreendimento tem uma <b>subestação</b> ... No mesmo nível, há uma <b>subestação</b> de <b>energia</b> da CEEE Equatorial, que só será&nbsp;...";SUBESTAÇÃO & ENERGIA;drenagem água, água para, para tentar, tentar reabrir;energia;Neutro;0;energia - 2024-06-02
31;<b>Obras</b> da nova adutora do Sistema Marrecas seguem em andamento - Rádio Caxias;https://www.google.com/url?rct=j&sa=t&url=https://www.radiocaxias.com.br/obras-da-nova-adutora-do-sistema-marrecas-seguem-em-andamento/&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw39fSEZmqy0nlXur5O3v4nM;2024-06-02;"A <b>obra</b>, segundo a Autarquia, está 70% pronta. A adutora está sendo implantada do outro lado da <b>rodovia</b>, em virtude de ter sido atingida&nbsp;...";RODOVIA & OBRAS;andamento rádio, adutora sistema, rádio caxias, em andamento;Outro tema;Neutro;0;Outro tema - 2024-06-02
32;"BR-116: <b>Obras</b> causam lentidão em diferentes pontos da <b>rodovia</b> neste sábado; confira";https://www.google.com/url?rct=j&sa=t&url=https://www.abcmais.com/brasil/rio-grande-do-sul/br-116-obras-causam-lentidao-em-diferentes-pontos-da-rodovia-neste-sabado-confira/&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw3to7DDDEkcRcKgIWbE43Xp;2024-06-02;"As <b>obras</b> de melhorias na BR-116 não foram interrompidas neste sábado (1º). Os serviços causaram lentidão em ao menos três pontos da <b>rodovia</b> no&nbsp;...";RODOVIA & OBRAS;diferentes pontos, neste sábado, rodovia neste, pontos da;construção;Neutro;0;construção - 2024-06-02
33;Serra da Rocinha vai ganhar 'túnel falso' para que <b>obras</b> sejam finalizadas - SCTODODIA;https://www.google.com/url?rct=j&sa=t&url=https://sctododia.com.br/transito/serra-da-rocinha-vai-ganhar-tunel-falso-para-que-obras-sejam-finalizadas-54001&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw1iLO-dwplFQVFmkrN-R7M1;2024-06-02;Solução apresentada pelo DNIT surge para evitar que rochas caiam sobre a <b>rodovia</b>.;RODOVIA & OBRAS;túnel falso, finalizadas sctododia, sejam finalizadas, falso para;construção;Neutro;0;construção - 2024-06-02
34;<b>Obras</b> na avenida Três de Março são esperança de melhorias no trânsito na zona leste;https://www.google.com/url?rct=j&sa=t&url=https://www.jornalcruzeiro.com.br/sorocaba/noticias/2024/05/733650-obras-na-avenida-tres-de-marco-sao-esperanca-de-melhorias-no-transito-na-zona-leste.html&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw1ld865u1osuLR8dGK1oFts;2024-06-02;"O segundo trecho, que vai até o viaduto da <b>rodovia</b> Celso Charuri, está com 90% da pavimentação concluída. Esse avanço significativo antecipa uma&nbsp;...";RODOVIA & OBRAS;melhorias trânsito, trânsito na, são esperança, obras na;construção;Neutro;0;construção - 2024-06-02
35;Perimetral Leste: boletim atualiza o andamento da <b>obra</b> em Foz do Iguaçu - H2FOZ;https://www.google.com/url?rct=j&sa=t&url=https://www.h2foz.com.br/cidade/perimetral-leste-andamento-obra-foz-do-iguacu/&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw3Xcrp_-WjvXJPN8UodBnMo;2024-06-02;Nova <b>rodovia</b> irá conectar a Ponte da Integração Brasil-Paraguai, já concluída, com a BR-277, atravessando a cidade.;RODOVIA & OBRAS;iguaçu h2foz, foz iguaçu, boletim atualiza, atualiza andamento;Outro tema;Neutro;0;Outro tema - 2024-06-02
36;Terceira pista entre Foz do Iguaçu e Santa Terezinha de Itaipu é incluída nas <b>obras</b> do novo pedágio;https://www.google.com/url?rct=j&sa=t&url=https://catve.com/noticia/8/418621/&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw34ZbmnpRWgyT7tvW0pU8Lo;2024-06-02;"... <b>rodovia</b> federal, totalizando mais de 30 km de <b>obras</b>. Uma terceira pista pode evitar situações como um super congestionamento em direção ao&nbsp;...";RODOVIA & OBRAS;foz iguaçu, novo pedágio, iguaçu santa, obras novo;construção;Positivo;0;construção - 2024-06-02
37;Autorizado! <b>Obras</b> de pavimentação e drenagem no Espírito Santo - Aqui Notícias;https://www.google.com/url?rct=j&sa=t&url=https://aquinoticias.com/2024/06/autorizado-obras-de-pavimentacao-e-drenagem-no-espirito-santo/&ct=ga&cd=CAIyHTYyODYwYzVhMjY0ZGE4MmI6Y29tLmJyOnB0OkJS&usg=AOvVaw2UUzKaE5WuiKZTMty3--g3;2024-06-02;"... estrada que liga a comunidade de Floresta do Sul à <b>Rodovia</b> ES-209, no município de Pedro Canário, na microrregião Nordeste. Ao todo, serão&nbsp;...";RODOVIA & OBRAS;obras pavimentação, pavimentação drenagem, autorizado obras, pavimentação;construção;Neutro;0;construção - 2024-06-02
38;Com exceção de capitais, Campinas é a melhor cidade da América Latina para <b>investimentos</b>;https://www.google.com/url?rct=j&sa=t&url=https://correio.rac.com.br/campinasermc/com-excec-o-de-capitais-campinas-e-a-melhor-cidade-da-america-latina-para-investimentos-1.1519768&ct=ga&cd=CAIyHTQ0OGVkM2E3Y2UzYTM2MzU6Y29tLmJyOnB0OkJS&usg=AOvVaw0U5lmxKlKSzWh1lfBe4k3S;2024-06-02;"Alguns fatores ajudam Campinas a aparecer em uma boa posição na lista, entre eles a existência do <b>Aeroporto</b> Internacional de Viracopos, o maior de&nbsp;...";AEROPORTO & INVESTIMENTO;exceção capitais, com exceção, exceção, capitais campinas;Outro tema;Neutro;0;Outro tema - 2024-06-02
